, -0.0000000001
105870.275742175, -80380.0906129775
157255.79108890443, -19532.10353921728
143427.42393227833, 49482.065832576925
70123.7533409571, 38635.284913050666
55299.38123076075, 26481.71233853715
126418.12960306002, -32934.226818152536
83305.19403700816, -88306.90322383145
162451.85692157, 31355.09587748953
139503.68853764472, -11339.964424292755
99380.94326160391, -9643.287146348961
127707.1900790925, -42741.166628653125
119322.03494549387, -69159.2193368877
92478.45626185651, 62926.80490325083
55161.231570018754, 90691.88227579303
69904.29313440695, 62.77874885716545
83060.18246554799, -46627.84514938299
198597.0797757903, -67861.64680942541
151244.34701989157, 47814.84233250799
93145.79625765308, 96492.81492945744
59221.143191013245, -13928.94098025846
68968.57918287729, -43179.62865468055
120465.7257856661, -18758.14037309925
73449.61151971547, 25408.33637012133
113414.99316162626, 41025.90892850942
15794.298442519974, 34290.50856907153
78213.76400511766, -24981.582090490094
163783.29096533905, 15648.18768827057
169322.98787685897, 35785.61893127019
73454.9768158967, 74946.76692934496
42665.36963830771, -23758.45725340978
89737.19984078805, 14735.051842591294
119098.04381082757, -19496.617959647767
112052.49854842735, 36592.926086063795
111991.81636833899, 77603.83633094149
-33041.07140612252, 62372.07132223264
115918.86003913831, -16748.17222751947
138249.29502329667, 26512.85975173313
173111.94473879706, 54645.17918624815
83162.4296418898, 70573.81917128137
61234.41043297291, 40764.7383584988
164343.80967881175, -948.5207968393397
140210.5080975844, 42142.588920483984
211775.48215113618, 10445.630599630527
59171.0040709296, 70831.67448593193
40614.20242666966, -1447.8741910195345
155237.55894292664, 7905.673023188027
121800.8402717613, -7782.368485955964
192797.59230827706, -22675.50869694361
138186.0224619929, 156053.7807345864
55483.33438285467, 95847.32185407002
100941.6978405581, -67769.97114456502
91494.05844438265, -102836.4357879313
165007.37121697844, 44635.757587330256
64208.13926722724, 3944.465944159144
-4407.725383012455, 73779.66062338186
-11803.62015335381, -54340.328589721656
142158.84719780018, 46441.02108919774
257235.89899692193, 54529.66959878833
-31342.50320202757, 79599.00348733114
-1471.3191304186903, -64521.40700928143
137647.57766337914, -79656.45777583435
42922.1675013662, -138320.33190335808
159153.29572551855, 175531.43006344515
-169233.2182799436, 155858.27961149975
5546.295454356907, -108876.84859493082
117934.37805466169, -147362.1444705543
113122.97222344477, 47216.798735697346
-44745.894055415534, 13104.767135439277
177042.94948859813, 120065.64979949319
-94438.3044932093, -59455.48610532817
81963.81451875984, -235794.50856274186
215633.09749355883, -202834.79948976045
390013.4752703734, 186774.55055560314
-101032.3964463205, 166577.6547362717
-172062.1893148179, -142652.67645776106
118592.842343115, -142114.08457257316
377826.67733305926, 141413.08603615037
152263.76574517126, -156149.56093127796
111341.25817819215, -193443.99641359612
-23624.11042172869, 4559.585544938433
-140774.6244002489, -286391.2831625169
179602.74087259834, -206639.42467416511
95272.56017847462, 43417.81086239812
-221661.37955169025, -77271.70584966114
113759.31528432663, -209141.6176184279
221277.0636055885, -49707.59321186369
261190.33242935967, -120973.93787527477
42955.53519947859, 29343.878813485513
-321004.62422310165, -191188.53526057617
-413349.9141662393, -400432.1752805522
120793.48128583247, -395392.4021655535
33476.75596600509, 279952.7541735639
204561.76494055326, 81444.76733647876
-200159.50583985573, 189874.36289053364
-18092.457328138127, -208121.7807421185
438930.5703985926, -502625.89364094654
455169.0092531235, -361208.08087355056
174349.4698167435, 547336.3032945505
-246228.59427967115, 566232.7774470015
258161.05922119805, -96879.65558287653
212182.74955656097, 386881.05804980407
-32026.57566230002, 719194.6501188492
279904.8406001128, 562070.9944144152
-65197.13606794749, 681604.161840513
-487450.8463932062, -280799.5172961206
254256.0672581759, -86569.34176806956
326703.46166384046, 174159.29189080396
231245.0449024331, 20374.23207033643
-18181.106095765557, 211996.39861273006
-215781.10660630593, 175934.99555372633
-374002.6599393826, 294579.2684310727
-608904.1312263517, -783374.7429522667
-80968.50637282024, -460341.0138183806
-543868.8595605824, -581435.9960998414
-356120.8293101127, 7854.216340934305
-415023.0224053444, 344537.92296587606
28183.023340961518, -227116.68617682296
505792.3738821877, 232569.63393649616
-82494.19608603738, 650253.1346893955
217886.5247708392, -231870.22908876874
281083.29519030976, 168725.35260531443
-27748.01556331147, 119920.09988738687
-383383.5224046019, 692788.6648867758
-572008.8865133821, 95562.7458551654
-314252.7671523925, -74488.7328031757
-608240.7198250184, 794364.2856304914
-66804.31097756664, -215939.76611293055
-613792.6631620713, -221745.2118429463
-264057.1239362182, 358825.9593112309
386209.72354061436, -611201.0637322183
-96104.2425836119, -493129.08300391916
267772.1478384206, -1025589.9895031031
596032.0571150652, -532058.1362953655
-193527.7110711084, -301351.67045744264
278196.49099941907, -167417.44969229007
-216462.6423020867, -182495.87850771417
-641224.2090075631, 50422.9938352395
-924747.9717951316, -88848.86546289374
339999.9362312658, 441431.4247066357
-22278.341270494646, 63214.48692250432
-207536.16469312122, -41949.555758577364
780663.1990612047, 113105.62315916072
592554.1808645953, 589370.9802224736
738494.9763663491, -638928.2138151394
-345993.6311764425, 361943.9321497035
-74379.21722064802, -596094.2012231414
-50516.286660241385, 59225.39054739091
-395276.25834759953, -135925.95069910656
-563155.1769929633, -113710.39161738372
195175.28084052564, -41301.671873255254
-528985.3618989133, 177918.01483242252
320529.2730533967, 168865.0655678173
-750644.9895600956, -340224.52791995666
387876.7104909499, -83885.80361950964
560652.5429651657, 553276.9825152012
333516.98295966553, 245281.00321916098
-263762.05927950627, 524394.6966035084
-706811.7094682253, 447440.0660549094
-820106.2128371309, 312439.1551680964
-413654.030658551, -514567.36246060795
-26224.33696903527, 88661.95103222979
169354.20266675856, 6306.024795365898
163249.16877286098, -39650.988391231745
-96963.25348483294, 312726.38553824415
163931.55463124154, -134527.1979324162
543801.5597751486, -664710.3075883596
-105168.92852123636, 320416.9385527186
-780825.1995844047, -458534.3548300944
-343912.9272527747, -40946.46171665733
-182990.15363762697, 172357.78162606835
96355.23711120646, -231874.35952665092
-234209.18898792763, 5706.077521659667
78038.56747252663, 116022.47808503477
26023.425697089406, -557185.9667289329
341416.3999485828, 468966.8358069595
482349.4670839209, 371626.1407306099
187692.91095009906, 94974.51886604764
239792.44541248772, 49807.41589563912
306518.140934728, 89417.66659153895
349673.59634155396, -21928.503932888183
-77099.51247048331, -297299.52854603576
253374.17871991405, -68000.86940185814
350772.90813535376, -249666.89416303395
162283.6815054671, -235869.79230459908
-56479.24601770696, -113247.91420598894
116767.85518754888, -78282.05280393476
-144832.60277064538, 173520.09574108303
246881.67207373187, 369813.9046495756
288754.50098752696, 76253.37631868516
475740.5747825524, -304390.00662247575
112676.00531094983, -139718.48574079518
10539.921971223914, 164278.8575400837
635932.6920763901, -54424.750893794
-43266.876070938066, -40807.542393200594
-242987.13861865646, 303143.1631783902
-193570.53673475425, 366389.75233996403
965921.1686889608, 42382.27252883918
-69680.67553686102, 275678.19209134666
396894.96647809236, 72153.11951377388
-189487.68426999866, 531438.2708485276
-510065.51673568174, 98491.18055144633
-393623.3796163158, 207991.40263321475
374493.75943066244, -300792.2704320849
-72275.10640142986, -100923.51394507554
254647.11422300278, -83888.60096860812
-272593.7350216978, 157926.59285289512
-302168.16799470247, 70838.40871009276
-408469.67556027416, -254933.39257020297
-552144.1616479912, -127513.87669006351
-706209.2468195088, -352355.99657944083
-313238.29769884783, -50397.12077440704
-262147.3928263665, 75924.57865784189
-9190.69724894467, -107297.68641815329
44612.57069506898, 463220.7240739941
150217.3413131476, -262172.85937661456
-96754.89675671275, -166117.96051044704
533874.5177841352, 76725.7661167524
431596.258016094, -104969.31176340595
157354.41788897116, -106973.15475650753
-41962.290427792905, -395632.098284556
-308337.2780452054, -184680.33432253182
-136699.06913761108, -86195.82807327344
290932.8360957081, -179372.63939701056
96231.82161212534, -233666.83400286696
-380937.1063614548, -41044.134561985265
2876.117901452155, -111139.94142918134
427687.60137568746, -91012.93706032287
344428.169452535, 348393.68443856004
369223.9000044876, -189691.85284169996
355715.6191008784, 104273.05717029126
-107643.13568453315, 73211.73515972577
98997.24252075436, -26213.374268275053
-55325.770925415636, 328834.10848870274
-348453.2936718526, 168231.11058759468
-249160.59161071456, -199377.29640674574
-116753.83226373655, 201319.27898651874
568916.9405815249, 191485.73121675831
252550.8963838979, 186235.19123353148
-293308.55540987314, -337584.9419349985
143649.21334685927, -10503.86595556088
269158.3665256047, 248648.156839827
140058.72350615723, 242937.67104602425
-102444.07831243007, 252442.2077390783
118754.06744227358, 188297.09114684924
334846.41767293937, 437317.4395037678
240905.40374359323, -261399.1864054826
-7117.410164070834, -131019.0019501598
12173.905746572098, -208843.67147180834
-498610.9225581251, 47945.10517537912
129175.64590435466, -382827.67032225186
191212.44620736132, -110930.60074125987
-30045.435069682822, 795387.8444611267
-170624.96372265246, -84312.70781589024
-355616.12397054554, 201305.94170325046
-178621.77479597245, -303820.17452525155
22601.85442888922, -272091.14589433896
-440542.36137468304, 122909.90501978678
-74314.93622681632, 299046.9913579098
268529.3997863216, -158005.99903888686
-1667.4545866377912, -153274.00778053774
260085.02797471656, -492802.5496356698
468569.25009006757, 434391.55500869
-283882.23801632354, -114023.88650705796
-88825.65084929709, -201629.23976496185
-349523.62433955347, -98112.04457851453
-303283.91943773814, 9524.601076443494
-155222.70391940398, 71267.88618462313
-42136.35521390736, 107287.80160192068
66233.3645399102, 124971.3030114487
703560.60494262, 372983.7021305246
506047.8842181469, -209694.5612159521
-44707.5301936945, -283711.5129014027
-103724.43195162102, 16189.800515781946
240792.94318783787, 157879.3078271803
-398886.73893479543, -479144.2779487967
-12944.554566867268, 17279.01366493689
-1036600.9703563645, -33425.64719326471
-115032.03774225168, -25937.04593778107
568579.0860632096, -20475.60124598017
215298.29594663595, -31255.19392857496
-636474.0100452688, -588010.1110448085
-159086.70827366164, 145979.41270394836
82321.24192661078, 203747.4024097123
-68779.67556263278, -202377.06151384296
-374363.52236428246, -847044.4043267324
360374.1229654936, -190448.20300979502
-3466.926802109898, -273176.36224821775
-75848.78509787163, -363151.89349844074
-34947.946713558435, -29508.306718434287
-479322.47375673195, 102410.67285726922
-288362.59988642205, -440737.7700924875
50350.97440511896, -56856.77718665466
100113.76931197397, 181997.1866655402
-260412.77855364807, 200036.64991894248
-207680.6479432972, 253745.27907504677
182149.30502189748, -420522.15999243374
583774.1468065483, 56587.964559177344
-214084.74847300226, 305497.79637168936
169754.53151318402, -191502.26081877135
273536.8463269535, 51275.351393655306
-241549.40084288633, -162017.99172958834
293261.7812356164, -261458.20590393007
117619.85186040273, 490240.0143138361
125774.55571293904, 117062.72881054948
-136880.38842358615, 63563.51847331149
356530.5766288632, -159837.89011908064
433633.09862143715, 610784.1385875262
420700.2104798751, 570652.859863231
-9689.997120480912, -177103.04985253775
-54519.496987828796, -315648.9002689844
84323.86739000192, 38721.40410646359
-17047.83781900393, 77234.15373766827
-399251.81401045603, 457940.9610201015
-463500.03712738026, 355879.6897565157
-454997.9489995607, 603643.522759431
-75435.6524065818, 878354.7256989102
319149.9224392308, 961380.0218070669
578634.4742197022, -14827.702055817295
-217860.68964688614, 230421.8918160646
-152679.87212947942, -140813.6841918618
-251863.737506188, -208851.38467849378
271245.0923560063, 140664.54451564056
-90176.49676515949, 69726.1339801233
18889.972613304635, -52280.959780853496
-187258.76920018852, -595242.8300523146
-262340.07948782865, -353418.3217876002
-259698.59271767433, 554621.5192853542
-145560.11586185673, 29400.142750380437
